Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
378,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,,Arsenal,1.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
379,Robert Snodgrass\Robert-Snodgrass,sco SCO,FWMF,West Ham,10.2,3,0,0,13,6,0,46.2,1.27,0.59,0.23,0.50,2.0,2.0,0.16,+1.0,+1.0,Matches
380,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,11.3,0,0,0,8,3,0,37.5,0.71,0.27,0.00,0.00,0.5,0.5,0.06,-0.5,-0.5,Matches
381,Dominic Solanke\Dominic-Solanke,eng ENG,FW,Bournemouth,9.6,0,0,0,22,5,0,22.7,2.30,0.52,0.00,0.00,1.8,1.8,0.08,-1.8,-1.8,Matches
382,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,19.0,1,0,0,13,5,0,38.5,0.68,0.26,0.08,0.20,1.8,1.8,0.14,-0.8,-0.8,Matches
383,Dennis Srbeny\Dennis-Srbeny,de GER,MF,Norwich City,0.4,1,0,0,2,1,0,50.0,4.62,2.31,0.50,1.00,0.5,0.5,0.23,+0.5,+0.5,Matches
384,Jack Stacey\Jack-Stacey,eng ENG,FWMF,Bournemouth,8.9,0,0,0,3,1,0,33.3,0.34,0.11,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2,Matches
385,Junior Stanislas\Junior-Stanislas,eng ENG,MF,Bournemouth,0.7,0,0,0,1,1,0,100.0,1.45,1.45,0.00,0.00,0.0,0.0,0.05,0.0,0.0,Matches
386,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
387,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,17.8,0,0,0,11,2,0,18.2,0.62,0.11,0.00,0.00,0.4,0.4,0.03,-0.4,-0.4,Matches
